No,Question,actual_answer,ALLAM_answer,RAG_answer
١,من هو مؤسس الدولة السعودية الأولى,الإمام محمد بن سعود,,
2,كم بلغت مدة حكم الامام محمد بن سعود؟ ,40 عاماً,,
٣,متى تأسست الدولة السعودية الأولى بالهجري؟,1139ه,,
4,متى تأسست الدولة السعودية الأولى بالميلادي؟,1727م ,,
٥,متى توفي الامام محمد بن سعود بالهجري؟,1179ه,,
6,متى توفي الامام محمد بن سعود بالميلادي؟,1765م ,,
٧,في أي سنة وُلِد الإمام محمد بن سعود؟,1090ه,,
8,أين انتقل مقر الحكم بعد وفاة الامام محمد بن سعود؟ ,الطريف,,
٩,على يد من تأسست الدرعية؟,على يد جد الامام محمد بن سعود الأمير مانع المريدي,,
10,ماهو نسب الامام؟,هو محمد بن سعود بن محمد بن مقرن بن مرخان بن إبراهيم بن موسى بن ربيعة بن مانع بن ربيعة المريدي الحنفي العدناني,,
١١,ماذا يرجع نسب الامام ؟,"يرجع نسـبه إلى الُمـَرَدة من الدروع من بني حنيفة،من بكر بن وائل من عدنان",,
١٢,ما أسماء إخوة الإمام محمد بن سعود؟,"ثنيان، ومشاري، وفرحان",,
13,ما هي النخوات والصيحات التي كان أئمة آل مقرن يرددونها وقت التحدي والاعتزاز؟,"من النخوات والصيحات التي كانوا يرددونها: ""أنا ابن مقرن""، ""راعي العوجا وأنا ابن مقرن""، و""سور العوجا وأنا ابن مقرن"".",,
١٤,كم كان عمر الإمام محمد بن سعود عندما توفي؟,٨٩ سنة,,
15,ما المقصود بالعوجا؟,العوجا تشير إلى الدرعية,,
١٦,من هو والد الإمام محمد بن سعود؟,والده هو سعود بن محمد بن مقرن.,,
17,ما الفترة التي حكم فيها سعود بن محمد بن مقرن الدرعية؟,حكم الدرعية خلال الفترة (1132-1137هـ/1720-1725م).,,
١٨,أين كان مقر حكم سعود بن محمد بن مقرن في الدرعية؟,كان مقر حكمه في منطقة غصيبة.,,
19,من هي زوجة الإمام محمد بن سعود؟,زوجته هي موضي بنت أبي وهطان.,,
٢٠,إلى أي قبيلة تنتمي  زوجة الإمام محمد بن سعود موضي بنت أبي وهطان؟,تنتمي إلى قبيلة آل كثير.,,
21,ما الصفات التي تميزت بها  زوجة الإمام محمد بن سعود موضي بنت أبي وهطان؟,"تميزت برجاحة العقل، والدين، والمعرفة.",,
٢٢,ما أسماء أبناء الإمام محمد بن سعود؟,"فيصل، وسعود، وعبدالعزيز، وعبدالله، وعلي، ومرخان",,
٢٣,ما أسماء بنات الإمام محمد بن سعود؟,"هيا، وطرفة",,
24,ما سبب مقتل أبناء الإمام محمد بن سعود فيصل وسعود؟,قتـل ابنـاه فيصـل وسـعود عـام 1159هــ/1746م خـال معركـة دارت لصـد هجـوم الريـاض علـى الدرعيـة,,
٢٥,ما دور عبدالعزيز بن محمد بن سعود في الدولة السعودية الأولى؟,كان له دور عسكري وإداري بارز في عهد والده.,,
26,بماذا تميز عبدالعزيز بن محمد بن سعود منذ صغره؟,كان حريصاً على طلب العلم الشرعي منذ صغره.,,
٢٧,بماذا اشتهر عبد الله بن محمد بن سعود؟,اشتهر بشجاعته وتوليه العديد من المهام العسكرية في عهد والده وأخيه الإمام عبدالعزيز.,,
28,في عهد من استمر الحكم في الدور الأول من تاريخ الدولة السعودية؟,"استمر الحكم في عهد ابن الإمام محمد بن سعود، عبدالعزيز، وذريته.",,
٢٩,إلى من انتقل الحكم في الدور الثاني من تاريخ الدولة السعودية؟,انتقل الحكم إلى ذرية عبد الله بن محمد بن سعود.,,
30,إلى أي قبيلة ينتسب الإمام محمد بن سعود؟,"ينتسب إلى قبيلة بني حنيفة، التي كانت لها السيادة في وسط شبه الجزيرة العربية منذ فترة تسبق الإسلام بنحو مئتي سنة.",,
٣١,متى أسس أسلاف الإمام محمد بن سعود الدرعية؟,"تأسست الدرعية الثانية على يد أسلافه عام 850هـ/1446م، وظلت رئاستها في أسرته منذ تأسيسها.",,
32,ما الذي انعكس على شخصية الإمام محمد بن سعود بسبب إرثه الأسري؟,"انعكس عليه الإرث الأسري دوراً سياسياً واجتماعياً، ومنحه نظرة سياسية واسعة وحساً بالمسؤولية تجاه الأوضاع المضطربة في المنطقة.",,
٣٣,من تولى حكم الدرعية بعد وفاة سعود بن محمد بن مقرن؟,تولى زيد بن مرخان رئاسة الدرعية بعد وفاة سعود عام 1137هـ/1725م.,,
